Date,Open,High,Low,Adj Close,Volume,rsi_14,sma_50,adx_20,volume,corr_24,prev_open_close,prev_close_high,prev_close_low,momentum_20,y_1d_dir,ret_1d_fwd
1995-03-14,49.359375,49.640625,49.359375,28.789152145385746,223300,72.09333762363715,27.707429428163085,41.53952160241522,223300,0.4082426588521424,0.7226591917426229,-0.728126215518385,-0.7204723822323181,0.0248717569869934,-1.0,-0.0018917030011051938
1995-03-15,49.5,49.578125,49.296875,28.734691619873047,278500,69.59185142779995,27.75043632513574,41.69671936826201,278500,0.40377819367751205,0.7145129787335956,-0.7242822834557244,-0.7145129787335956,0.021612937219569917,1.0,0.005999898840072682
1995-03-16,49.4375,49.8125,49.4375,28.90709686279297,20400,72.80840630534729,27.794350929322754,42.0692553875643,20400,0.3298648528564352,0.722656385348697,-0.7253752243407247,-0.7155874039694253,0.022136836826278206,1.0,0.0009944150179301836
1995-03-20,49.625,49.625,49.46875,28.93584251403809,91700,73.31524592724097,27.882785415711915,42.59652001542585,91700,0.27142131312524787,0.7085211870369984,-0.7150010398323347,-0.707441211571109,0.028432688139436113,-1.0,-0.002522030108666695
1995-03-21,49.5625,49.875,49.359375,28.862865447998047,104400,69.50098441594781,27.924726600709473,43.077711079074,104400,0.2774952703861589,0.7150010398323347,-0.7150010398323347,-0.7096011625028877,0.026169939005344922,1.0,0.0009478964879061635
1995-03-22,49.53125,49.53125,49.328125,28.89022445678711,74900,70.12842546492273,27.966670455995118,43.445465611559165,74900,0.24648815966338594,0.7171718480029743,-0.7279989088352755,-0.7101342584619784,0.019578016832045853,1.0,0.0006315526225411094
1995-03-23,49.421875,49.65625,49.359375,28.908470153808597,220500,70.56335628228481,28.008616371217286,43.9116005116851,220500,0.21941138506819197,0.7144640075083856,-0.7144640075083856,-0.7074330825564584,0.01859133196637308,1.0,0.014199909688101808
1995-03-24,49.671875,50.21875,49.671875,29.318967819213867,134000,78.23979731700605,28.058590545716797,44.78531665150892,134000,0.09335135377891801,0.7095984234741259,-0.717705908884215,-0.7074364273647689,0.030420138865147717,1.0,0.0040449965367912455
1995-03-28,50.296875,50.421875,50.234375,29.437562942504883,121900,79.87283100076611,28.14731430059961,46.64805306514339,121900,0.09328561364251228,0.7085950728406382,-0.7128413482624228,-0.7043487974188534,0.03425782475337469,-1.0,-0.00031035857040939696
1995-03-29,50.375,50.890625,50.125,29.42842674255371,246100,79.34084870420895,28.189678764405762,47.76699289525607,246100,0.08187334881959969,0.7085950728406382,-0.7128413482624228,-0.7064719351297457,0.0405707347984936,-1.0,-0.0018592944403097444
